timestamp,datetime,favorites,id,is_retweet,retweets,text
1705986651357,2024-01-23 05:10:51,18943,111803541183511742,False,5020,"TOMORROW is the day that each and every one of you here in New Hampshire is going to cast the most important vote of your entire life. When you step into that voting booth, you are going to send a signal straight to Crooked Joe Biden, his handpicked thugs, his Radical Left Lunatics, and the entire sick political establishment in our nation’s capital. With your vote, you are going to put Crooked Joe and his protectors on notice that WE ARE COMING this November! The corrupt Washington Swamp has done everything in its power to take away your voice—but on Tuesday, I believe New Hampshire is going to speak LOUD AND CLEAR.Tomorrow, we are going to win New Hampshire—and then we are going to defeat Crooked Joe Biden, and we are going to MAKE AMERICA GREAT AGAIN! <a href=""https://links.truthsocial.com/link/111517032318362813"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
1706021777748,2024-01-23 14:56:17,12444,111805843226636845,False,3775,"MAKE AMERICA GREAT AGAIN!<br/><a href=""https://links.truthsocial.com/link/111517032318362813"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
1706026764900,2024-01-23 16:19:24,13612,111806170064408032,False,3462,"The level of Excitement and Enthusiasm in New Hampshire is incredible. They want STRONG BORDERS, A GREAT ECONOMY WITH NO INFLATION, LOW TAXES &amp; REGULATIONS, A POWERFUL MILITARY, ENERGY INDEPENDENCE, &amp; JUST PLAIN COMMON SENSE. WE WILL MAKE AMERICA GREAT AGAIN!"
1706028141305,2024-01-23 16:42:21,11098,111806260268017268,False,2613,"Why does Fox keep putting New Hampshire Governor Chris Sununu on??? Every time I mention his name at a Rally, they BOOO like crazy. He’s all jacked up on something, but he ran for President, without having the courage to announce, and did really poorly. To have this loser on so much is really bad TV."
1706028345716,2024-01-23 16:45:45,0,111806273664667281,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span>"
1706028438091,2024-01-23 16:47:18,0,111806279718638677,True,0,"RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span>"
1706030383646,2024-01-23 17:19:43,12037,111806407222241280,False,3111,THANK YOU!
1706032551256,2024-01-23 17:55:51,9802,111806549278577930,False,2590,"<a href=""https://links.truthsocial.com/link/111517032318362813"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
1706033521255,2024-01-23 18:12:01,14545,111806612848954460,False,3428,Speaker of the House Mike Johnson is VERY STRONG ON THE BORDER. He will not let our Country be destroyed by Joe Biden Open Border Lunatics!!!
1706033934552,2024-01-23 18:18:54,14327,111806639934432833,False,2712,"Stopping at a major Polling Site, NOW. I love New Hampshire!"
1706037064185,2024-01-23 19:11:04,18171,111806845038337192,False,3923,"<span class=""quote-inline""><br/>RT: https://truthsocial.com/users/realDonaldTrump/statuses/111806639934432833</span>THANK YOU—MAGA!!!<br/><a href=""https://links.truthsocial.com/link/111517032318362813"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nh.donaldjtrump.com/</span><span class=""invisible""></span></a>"
